City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,severo-yeniseyskiy,60.3725,93.0408,-11.58,92,100,3.84,RU,1701560091
83,talnakh,69.4865,88.3972,-28.22,92,21,0.53,RU,1701560363
84,aykhal,66.0,111.5,-36.98,100,95,2.11,RU,1701560363
85,nuriootpa,-34.4833,139.0,21.94,41,21,3.48,AU,1701560364
86,bardai,11.65,7.2333,21.34,16,7,3.59,NG,1701560293
87,luanda,-8.8368,13.2343,26.0,83,20,1.54,AO,1701560365
88,bikenibeu village,1.3673,173.1241,25.98,94,100,2.06,KI,1701560365
89,hawaiian paradise park,19.5933,-154.9731,27.73,82,75,4.63,US,1701560159
90,avarua,-21.2078,-159.775,26.03,73,20,6.17,CK,1701560141
91,chichen-itza,20.6667,-88.5667,28.03,78,20,3.6,MX,1701560085
92,udachny,66.4167,112.4,-35.31,66,100,1.18,RU,1701560367
93,bandon,51.7469,-8.7425,3.77,92,98,1.45,IE,1701560304
94,archangelos,36.2149,28.1149,17.95,82,100,4.35,GR,1701560368
95,isafjordur,66.0755,-23.124,-0.9,82,80,4.46,IS,1701560151
96,kayangel,8.0823,134.7173,28.74,77,65,8.02,PW,1701560369
97,okhotsk,59.3833,143.3,-32.87,87,76,5.19,RU,1701560370
98,lompoc,34.6391,-120.4579,20.38,64,0,9.77,US,1701560370
99,puerto natales,-51.7236,-72.4875,5.22,71,38,5.89,CL,1701560371
100,grenaa,56.4158,10.8783,-5.78,76,99,3.07,DK,1701560372
101,iqaluit,63.7506,-68.5145,-6.15,58,40,5.66,CA,1701560372
102,wolmaransstad,-27.1974,25.9831,18.97,45,7,2.09,ZA,1701560372
103,kangaba,11.9333,-8.4167,25.11,22,84,2.38,ML,1701560373
104,cambria,35.5641,-121.0808,19.12,84,72,3.13,US,1701560373
105,dryden,49.7833,-92.7503,-2.84,68,75,4.12,CA,1701560374
106,hami,42.8,93.45,-1.12,41,2,2.52,CN,1701560374
107,al kharijah,25.4514,30.5464,15.53,58,0,2.96,EG,1701560374
108,kota tinggi,1.7381,103.8999,27.4,74,98,1.12,MY,1701560375
109,lihue,21.9789,-159.3672,27.47,75,0,3.6,US,1701560303
110,nhamunda,-2.1861,-56.7131,27.01,71,100,1.71,BR,1701560375
111,malabo,3.75,8.7833,23.92,88,20,1.03,GQ,1701560357
112,kavieng,-2.5744,150.7967,28.38,72,100,2.64,PG,1701560376
113,tsiombe,-25.3,45.4833,20.71,57,64,5.94,MG,1701560376
114,guerrero negro,27.9769,-114.0611,19.7,47,2,5.44,MX,1701560377
115,enewetak,11.3474,162.3373,27.71,77,94,7.21,MH,1701560377
116,vadso,70.0744,29.7487,0.09,93,100,5.14,NO,1701560377
117,tadine,-21.55,167.8833,26.41,62,10,0.11,NC,1701560378
118,vilyuchinsk,52.9306,158.4028,-7.26,81,100,2.12,RU,1701560378
119,college,64.8569,-147.8028,-19.03,77,40,1.54,US,1701560093
120,adre,13.4667,22.2,22.01,16,52,5.61,TD,1701560379
121,saint-philippe,-21.3585,55.7679,23.77,94,92,1.72,RE,1701560380
122,bhadra,29.1167,75.1667,16.62,54,0,1.39,IN,1701560380
123,al wajh,26.2455,36.4525,20.97,60,0,1.54,SA,1701560381
124,mugia,43.1041,-9.2179,9.39,78,80,8.59,ES,1701560381
125,dunedin,-45.8742,170.5036,12.67,77,99,6.26,NZ,1701560327
126,pitimbu,-7.4706,-34.8086,27.33,83,64,2.63,BR,1701560382
127,punta del este,-34.9667,-54.95,20.54,93,0,1.54,UY,1701560383
128,nyaunglebin,17.95,96.7333,21.94,89,67,1.2,MM,1701560383
129,chui,-33.6971,-53.4616,18.87,95,100,2.44,UY,1701560383
130,longyearbyen,78.2186,15.6401,-9.09,79,75,5.14,SJ,1701560129
131,codrington,-38.2667,141.9667,18.53,59,65,3.29,AU,1701560384
132,koungou,-12.7336,45.2042,25.84,89,0,2.57,YT,1701560385
133,new shagunnu,10.3396,4.4688,25.98,32,74,2.51,NG,1701560385
134,turpan,42.9333,89.1667,1.04,45,46,0.38,CN,1701560386
135,la passe,45.5549,-0.8967,-1.87,89,43,3.21,FR,1701560387
136,badger,64.8,-147.5333,-19.07,81,40,1.54,US,1701560140
137,nar'yan-mar,67.6713,53.087,-9.94,95,100,5.36,RU,1701560388
138,vorgashor,67.5833,63.95,-21.54,96,84,2.49,RU,1701560388
139,hasaki,35.7333,140.8333,6.27,56,94,1.19,JP,1701560356
140,rudnichnyy,59.617,52.4703,-12.31,96,100,2.43,RU,1701560390
141,mejit,10.2753,170.8646,27.47,76,83,8.67,MH,1701560391
142,kapa'a,22.0752,-159.319,27.88,74,0,3.6,US,1701560391
143,ingeniero guillermo n. juarez,-23.9,-61.85,33.95,42,67,3.1,AR,1701560392
144,jinchang,38.4953,102.1739,1.24,15,17,3.41,CN,1701560392
145,zabol,32.25,67.25,5.31,52,95,0.45,AF,1701560393
146,pacific grove,36.6177,-121.9166,16.82,80,40,1.54,US,1701560393
147,kourou,5.1552,-52.6478,27.03,80,52,2.69,GF,1701560394
148,holualoa,19.6228,-155.9522,25.99,82,40,4.63,US,1701560394
149,korla,41.7597,86.1469,4.46,35,62,1.81,CN,1701560395
150,port douglas,-16.4833,145.4667,33.92,47,95,1.55,AU,1701560395
151,tortoli,39.9256,9.6572,11.9,54,0,1.54,IT,1701560396
152,vilyuysk,63.7553,121.6247,-44.58,100,69,1.59,RU,1701560396
153,georgetown,5.4112,100.3354,26.12,89,20,2.06,MY,1701560367
154,shitanjing,39.2342,106.3439,-3.24,26,45,1.7,CN,1701560397
155,nuuk,64.1835,-51.7216,0.34,74,75,1.03,GL,1701560280
156,afaahiti,-17.75,-149.2833,29.93,84,88,9.13,PF,1701560398
157,aasiaat,68.7098,-52.8699,-10.53,84,37,2.62,GL,1701560398
158,morehead city,34.7229,-76.726,19.0,90,75,2.06,US,1701560399
159,ilulissat,69.2167,-51.1,-1.99,50,24,8.75,GL,1701560171
160,turar ryskulov,42.5333,70.3333,6.25,59,6,1.66,KZ,1701560401
161,santo antonio,-6.3106,-35.4789,24.37,83,41,3.52,BR,1701560402
162,atafu village,-8.5421,-172.5159,27.54,69,100,2.67,TK,1701560402
163,yuzhno-kurilsk,44.0306,145.8556,1.32,64,49,3.55,RU,1701560403
164,new plymouth,-39.0667,174.0833,17.67,94,100,6.13,NZ,1701560274
165,magadan,59.5667,150.8,-21.17,98,99,1.83,RU,1701560404
